id,book_name,book_publisher,book_author,book_description,book_desc,book_position,dewy_tenth,col_8,book_seriesno,book_seriesname,book_col11,book_access,book_creator,deleted_at,created_at,updated_at
12,وصية الكاهن ,مطبعة-الدلتا -سبورتنج  الناشر -دير السيدة العذراء برموس*رقم الايداع 4872-2014,المؤلف- الاباء الرهبان بدير العذراء برموس مراجعة - نيافة انبا ايسيذورس,يحتوى على مصادر سيامة القس ونظرة تاريخية عن الوصية كما تطرق الكتاب الى الصفات الواجب توافرها فى الكاهن كما تطرق الى اهمية حرص الكاهن على الجسد والدم وقبول الاعتراف واهم صفات اب الاعتراف وشرط قبول الاعتراف وخطورة قبول الاعتراف دون خبرة روحية وتوقيع عقوبة او قانون على المعترف والهدف من القانوى هذا,قوانين الكنيسة والقرارات الدسقولية,ر26-ك27,,978-977-6408-27-2,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
13,وسائل الاعلام والاتصال الاجتماعية اخلاقيات واداب,الناشر-بعناية المجمع المقدس للكنائس الشرقية -الفاتيكان منشورات -اللجنة الاسقفية لوسائل الاعلام جل الديب - لبنان- حاضرة الفاتيكان 2000,رئيس- جون فوليه - امين ستر- بيار فرنكو باستورى,يحتوى على القرار المجمعى بشان الاعلام - بعض المبادىء الاخلاقية والادبية البارزة ,مكتبات ووسائل اعلام,ر36-ك1,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
14,دليل متحف التعليم,اصدار-جمهورية مصر العربية وزارة التربية والتعليم الادارة العامة للمتاحف والمكتبات متحف التعليم,اعداد-عبد الرؤوف نصر *مراجعة-رضوان حجازى- محمد محمد خفاجى,يحتوى على نشأة ورسالة وتطوير ونشاط واعادة افتتاح واقسام المتحف ومطبوعاته والكتاب مكتوب باللغة العربية والانجليزية ويعرف القارئ بمقتنيات المتحف-1974م,متاحف,ر35-ك10,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
15,وداعا نيافة (انبا ابراهام) مطران الكرسى الاورشليمى,اصدار- المركز الثقافى القبطى الارثوذكسى - العدد 17-السنه الثانية -ديسمبر 2015م ,اسسها- الانبا ارميا الاسقف العام -رئيس التحرير - د. جرجس صالح ,تحتوى على قداسة البابا فى القدس لصلاة جناز نيافة (انبا ابراهام )مطران الكرسى الاورشليمى - الكنيسة القبطية الارذثوكسية بالعراق تبعث رسالة شكر وتقدير الى قناة MEAST فى مصر وامريكا - زيارة صاحب الغبطة البطريرك ماربشارة بطرس الراعى - برلمان 2015 بمذاق مختلف - السيسى يدشن مشروع التنمية بمنطقة قناة السويس - اخبار محلية ,تراجم مطارنة واساقفة,ر8-ك31   ,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
16,وجه مدينة القاهرة من ولاية محمد على  حتى نهاية حكم اسماعيل (1805-1879),مطبعة-الهيئه المصرية العامة للكتاب- طبعة2014*رقم الايداع 2014-21680,اعداد-محمد حسام الدين اسماعيل,يتناول الكتاب وجه مدينة القاهرة وتراثها المعمارى من عهد محمد على حتى عهد اسماعيل وتغير الفرنسيين لوجه القاهرة وضواحيها والتقسيم الادارى للقاهرة وتغير معالم المبانى وتحصين القاهرة وقلعة حارة النصارى واماكن الترفيه والحياة السياسية والاقتصادية ومحمد على والمماليك ومذبحتهم والاسطول والحملات والجيش والحروب والزراعة والى والصناعة وتوسيع الشوارع وتسميتها والسراى والقصور والمقابر والجوامع والدار الموجود بمصر والقلاع والمصانع والمدارس والوكالات والجوامع والسبيل والتياترو والمصالح والزاوية,القاهرة+مدن مصرية,ر57 -ك7,962.16,978-977-91-0034-0,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
17,وثائق للتاريخ الكنيسة وقضايا الوطن والدولة والشرق الاوسط ,مطبعة- دار الجيل للطباعه -الفجالة الناشر- للثقافة القبطية والارثوذكسية * رقم الايداع 1993-2387,بقلم -الانبا غريغوريوس اسقف عام,يحتوى على كفاح الكنيسةالقبطية الارثوذكسية ورجالها فى الجهاد الوطنى فمثلا يوضح موقف الكنيسة الارثوذكسية بالاهتمام بابنائها فى الخارج ومجلس الكنائس العالمى وقضية فلسطين ومشكلة القدس وكلمات كثيرة لعدة مناسبات القاها قداسة البابا كيرلس السادس مثل كلمة قداستة بمناسبة ليلة الاسراء والمعراج والتى اذاعها بالميابة عنة غريغوريوس اسقف البحث العلمى والعديد من قضايا الساعة بصورة تتماشى تاريخيا وتوثيقيا,تاريخ الكنيسة,ر6-ك7,,,ج4+12,المباحث المتصلة بالاسرة والشباب والمجتمع,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
18,وثائق الاتفاقات المالية بين الحكومة المصرية وحكومة المملكة المتحدة,مطبعة -الاميرية بالقاهرة1948,وزير المالية- عبد المجيد بدر  رئيس مجلس الوزارة- محمود فهمى النقراشى ,يحتوى على المفاوضات المالية المصرية البريطانية (ديسمبر 1947- يناير 1948),مصر,ر55-ك1,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
19,واقعة السلطان الغورى مع سليم العثمانى ,مطبعة-الهيئة المصرية العامة للكتاب *رقم الايداع 1997-2904,تاليف-ابن زمبل الشيخ احمد الرمال *تحقيق- عبد المنعم عامر ,يحتوى على تحقيق للمخطوط الذى الفه ابن زنبل الشيخ احمد الرمال حوادث الحرب التى قامت بين المماليك والسلطان العثمانى من اولها فى موقعة مرج دانق بالشام الى نها يتها فى موقعة امبابة وانتهت بهزيمة المماليك والقضاء على سلطانهم المطلق كما قدم الكتاب ترجمة ابن زمبل,مصر,ر59-ك1,,977-01-5108-4,,ادب الحرب,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
20,وادى النطرون ورهبانه واديرتة ومختصر تاريخ البطاركة ,مطبعة والناشر-مكتبة مدبولى -طبعة اولى 1993,تاليف - عمر طوسون,يحتوى على تاريخ وادى النطرون ورهبانه واديرتة كما يحتوى بدآ من الباب الرابع على مختصر تاريخ البطاركه منذ مارى مرقس الرسول وحتى الانبا يؤانس البطريرك الحالى113,تاريخ الرهبنة,ر14-ك11,,,,صفحات من تاريخ مصر ,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
21,وادى الريان بين الماضى  والحاضر,مطبعة - دار الكتب والوثائق المصرية * رقم الايداع 2015-2123,الكاتب -الراهب ااثناسيوس الريانى , يحتوى على بحث تاريخى عن وادى الريان وكيف تكون وفترة تكوين الارض كما يرى العلماء وتكلم الكتاب عن المجموعه الشمسيه وعن كوكب الارض والغلاف الجوى ومتى وكيف تكون الكون وبعض النظريات عن هذا وما هو الزمن؟وهل له بداية ونهاية وكيف سينتهى الزمان والكون؟والعصور الجولوجية كما تكلم الكتاب عن العلماء والرحاله والمؤرخين الذين زوار دير القديس العظيم ابا مكاريوس الاسكندرى الاثرى وكما تكلم الكتاب عن التاريخ الجولوجى لارض مصر هبة النيل وتكلم الكتاب عن الموقع الجغرافى لوادى الريان وعن الفيوم مدينة البحر وعن وادى الريان عبرالعصور وفى العصر الفرعونى وعن بحيرة التماسيح موريس- قارون- تحت حكم الرومان وعن مجئ مرقس الرسول الى ارسينوى وعن مجئ ابا انطونيوس الكبير اب الرهبان الى اديرة الفيوم لزيارة تلاميذه الرهبان  وتكلم عن مجئ القديس العظيم البابا اثناسيوس الرسولى البطريرك ال20 الى ارسينوس وتكلم الكتاب ايضا عن دير القديس مكاريوس القس الاسكندرى بوادى الريان فى القرن السابع الميلادى القديس انبا صموئيل المعترف واولاده الرهبان فى الريان -دير الزكاوة وتكلم الكتاب عن وادى الريان وبحيرة موريس-التماسيح-قارون تحت الحكم الفارسى من سنة 616-628م ووادى الريان بحيرة موريس تحت حكم العرب وعصر المنشوبيات وتكلم عن دير القديس العظيم ابا مكاريوس القس الاسكندرى بوادى الريان فى القرن التاسع عشر الميلادى وفى القرن العشرين الميلادى وتكلم الكتاب عن القمص متى المسكين وما قاله عن بريه وادى الريان وتكلم عن اكتشاف مغارة القديس مكاريوس القس الاسكندرى وعن ظهور الرسولين بطرس وبولس فى كنيسة رئيس الملائكه الجليل ميخائيل فى عشية عيديهما وتكلم الكتاب عن نبذة عن الانبا بنيامين مطران المنوفية المتنيح ونبذة عن الانبا اثناسيوس مطران بنى سويف وعن اولاد القمص متى الامسكين وهم الراهب القس موسى المقارى الريانى -الانبا اندراوس وتكلم الكتاب عن نبوة عن رسامة ابو نا الروحى اليشع المقارى اسقفا ونبذة عن الاب مينا المقارى والاب كيرلس المقارى والاب ديونيسيوس المقارى والاب داود والاب اسطفانوس والاب ارميا والاب ايليا والاب نحميا والاب اليشع والاب يوحنا والاب يعقوب والاب انجليوس والاب وديد كل هؤلاء من دير المقار وتكلم الكتاب ايضا عن وادى الحيتان وفى نهاية الكتاب تم وضع جدول يوضح اعمار الاباء ومنه تحديد زمان ومجئ الاباء الى مصر ومن ثم تحديد ميعاد الخروج بداية من ادام الى الهيكل وصولا الى موسى والخروج ويفتاح داود وسليمان والهيكل كل هذا موثقا فيه الميلاد والنياح,كنائس واديرة,ر16-ك41,,978-977-90-3595-6,,دير القديس العظيم ابا مكاريوس الاسكندرانى الاثرى,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
22,هؤلاء حكموا مصر من مينا الى مبارك,مطبعة- الهيئه المصرية العامة للكتاب -القاهرة *طبعة اولى 2000*رقم الايداع 2012-16541, اعداد- حمدى عثمان مراجعه علمية - د. ناصر الانصارى,يحتوى على ملوك وامراء وحكام مصر منذ عصرمينا الى مبارك,تراجم حكام وقادة وثوار,ر51-ك4,923.1,978-977-448-054-6,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
23,هؤلاء الرجال من مصر,مطبعة-الهيئه المصرية العامة للكتاب -طبعة1993م* رقم الايداع 1993- 4315 , تاليف-لمعى المطيعى,يتحدث عن شخصيات مصرية شهيرة مثل ابراهيم الدسوقى اباظة-احمد لطفى السيد-توفيق الحكيم-حمد الباسل-عبد الرحمن الرافعى-عبد السلام فهمى جمعه-عبد الفتاح الطويل-على زكى العرابى-فكرى اباظه-محمد زكى عبد القادر-محمد فريد-محمود سلمان غنام-د.وحيد رأفت-احمد حسنين-احمد ماهر-حافظ عفيفى-صلاح عبد الصبور-عبد الرحمن الشرقاوى-عبد العزيز فهمى-عدلى يكن-فتح الله بركات-قاسم امين-محمد صبرى ابو علم-محمد محمود-مصطفى كامل,تراجم ادباء وفنانين وعلماء...مصريين,ر50-ك6,,977-01-33544-X,62,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
24,هوامش الفتح العربى لمصر - حكايات الدخول ,الناشر- سينا لنشر * طبعة اولى 1996* رقم الايداع 1996-8996,الكاتبه-سناء المصرى,يحتوى على سرد قصة الدخول العربى والفتح لمصر وحال اقباط مصر قبل وبعد الفتح ويسلط جانب من الضوء على شخصية مارية القبطية,مصر, ر56-ك4,,977-288-000-8,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
25,هل رحب الاقباط بالفتح العربى,الناشر-الكتيبة الطيبية-طبعة ثانية اكتوبر2007-رقم الايداع22619-2007,المؤلف-الاب بيجول باسيلى,يحتوى على اجابة السوال هل حقا رحب الاقباط بالفتح العربى وقد ورد فية انه الادعاء الاول لتخليصهم من ظلم الرومان والادعاء الثانى ما سمعوه عن العرب من العدل والرحمة والادعاء الثالث قصة السبعون الف راهب والادعاء الرابع ظهور البابا بنيامين بعد نداء عمرو بن العاص والادعء الخامس دين الاسلام قريب من عقيدة الاقباط والادعاء السادس العهود والشروط التى فرضها الفاتحين العرب والادعاء السابع اكرام العرب لارمانوسة ابنة المقوقس وقدم الكتاب ملخص وقائع الفتح العربى,تاريخ الاقباط,ر1-ك8م2,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
26,هردوت يتحدث عن مصر ,مطبعة- الهيئه العامة لشئون المطابع الاميرية -الناشر- بالعربية محفوظة للمركز القومى للترجمة * رقم الايداع 2007- 17632 ,تاليف-هردوت*تقديم -احمد بدوى*ترجمه-محمدصقر خفاجة,يحتوى على مقدمة عن ابو التاريخ هردوت حيث يقدم فى كتابة نظرة سريعة فى احوال مصر والشرق القريب قبيل ايام هردوت كما تطرق الكتاب الى قمبيز وحملته على مصر وكما قدم الكتاب قصة ابسماتيك والبحث عن اقدم شعوب الدنيا كما قدم الكتاب مقدمة عن مصر بين هردوت والكهنة وقدم وصف طبيعيا عن مصر وارضها وترابتها ومساحتها وتكلم عن الزراعة وحدود مصر ونيل مصر وليبيا وعادات المصريين وطقوس المصريين الدينية وشعائرهم كما ذكر الكتاب عقائد المصريينوالاغريق والتشابة بينهم وتطرق الى اعياد المصريين وتقديس الحيوان والحياة العامة ومايمارس فيها من قواعد وتقاليد وتكلم عن الجنازات وسكان اقاليم الاخوار وعاداتهم والمراكب التى استخدمها المصريون ووسائل النقل والانتقال ايام الفيضان وتطرق الى مينا او الحكام المصريين وخلفائة وتطرق الى اسطورة هيلينا وتناسخ الارواح وعصر بناه الاهرام وذكر الاثيوبين فى مصر والعديد من الامور الاخرى,مصر,ر59-ك15,932,977-437-446-0,1131,ميراث الترجمة,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
27,هذة الكرمة التى غرستها يمينك يارب ,مطبعة-دار يوسف كمال للطباعة-رقم الايداع 7757-2005, اعداد-مطرانية الاقباط الارثوذكس بطهطا وجهينه لجنة النشر,صدر هذا الكتاب بمناسبة احتفالات الايبارشية باليوبيل الفضى لسيامة ابينا حضرة صاحب النيافة الحبر الجليل الانبا اشعياء اسف طهطا وجهينه وتوابعها كما يحتوى الكتاب على مشاهير الايبارشية الاكليروس ،و اعمال رعوية ،والمعطى فبسخاء ،ولنذهب الى القرى المجاورة ،ونقاوة التعليم مع الوقاية والعلاج ،و قداسات خاصة واحتفالات وخدمة هامة ،و محبة القديسين ،وسفارا مرارا كثيرة ، و مقتطفات من كتابات الحبر الجليل الانبا اشعياء ،و شركاء الرعوى ،و كلمات بسيطة لها معانى عظيمه,تاريخ ايبارشيات,ر15-ك13,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
28,هدسون تايلور فى قلب الصين, مطبعة-مكتبة المنار -طبعة اولى نوفمبر 2001 *رقم الايداع 1791-2001,المؤلفه -جانيت وجيون بنج  *ترجمة-ادوارد وديع,توى على قصى حياة هدسون تايلور (1892-1905م)والكرازة فى قلب الصين,كرازة وارساليات,ر13-ك2,,977-5674-58-1,,ابطال المسيحية فى الماضى والحاضر,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
29,نيافة الحبر الجليل الانبا دوماديوس مثلث الرحمات مطران الجيزة,الناشر-مطرانية الاقباط الارثوذكس بالجيزة - عام 2012,ناقص,يحتوى على صورتاريخية نادرة لنيافتة موضوعه فى  نتيجه عام 2012 وشرح تاريخى لحيلتة اسفل كل صورة,تراجم مطارنة واساقفة,ر8-ك4    ,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
30,رابطة القدس,الناشر- رابطة القدس للاقباط الارثوذكس عام 1991,اعداد-رابطة القدس,يحتوى على عدد من مجلة رابطة القدس للاقباط الارثوذكس صدر فى ذكرى الاربعين لنياحة مثلث الرحمات 21-11-1991نيافة الانبا باسيليوس مطران الكرسى الاورشليمى والشرق الادنى ,تراجم مطارنة واساقفة,ر8-ك30   ,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
31,نهضة عيد استشهاد شفيعها الشهيد العظيم مرقوريوس ابى سيفين من 25-11-2007 الى 5-12-2007, الناشر-بطريركية الاقباط الارثوذكس كنيسة الشهيد العظيم ابى سيفين الاثرية بمصر القديمة,ناقص,الكتاب يحتوى على سيرة مرقوريوس ابى سيفين ونهضة القديس فى كنيستة الشهيد العظيم ابى سيفين الاثرية بمصر القديمه فى الفتره من 25-11-2007الى 5-12-2007 بالعظات خلال تلك الفترة,تراجم سير قديسين,ر7-ك41,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
32,نهر النيل,مطبعة -الهيئه العامة للاستعلامات-طبعة اولى 1996,بقلم-السيد القماحى,يحتوى على كل مايتصل بنهر النيل العظيم والشعوب على هذا النهر والسد العالى وفوائد نهر النيل وتلوث النهر والنيل سبب التجمعات البشريه وهو رمز لمصر ،الكتاب مقدم بطريقة مبسطة جدا للاطفال ويحتوى على صور كرتونية وفوتوغرافية,القاهرة+مدن مصرية,ر57-ك12,,,3,رموز مصرية ,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
33,نفحه الاداب شرح ملحه الاعراب,,,-------------,لغه عربية ونحو,غير مسجل,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
34,نفحه الاداب شرح ملحه الاعراب,دون غلاف داخلى او تاريخ طبعة,,كتاب شرح للنحو,لغه عربية ونحو,غير مسجل,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
35,نفح العبير ردا على شرح البشير,طبعة اولى1895,تأليف-الايغومانس فيلوثاوس رئيس الكنيسة المرقسية الكبرى,يحتوى الكتاب على شرح المغالطات التى وردت فى كتاب البينات الوفيه وكتاب البراهن الثاقبه للراهب الاب افرام السورى السريانى وفيه تعليم الحق وتوضيح الامور لمسأله طبيعتى المسيح والعديد من الايضاحات والتصحيحيات الاخرى وهى تعاليم مخالفه للتعاليم الكاثوليكيه يقصد بها التعاليم الرومانية,كتب طقس وعقيدة ولاهوت,غير مسجل,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
36,نعم هذا يحدث بالفعل,مطبعة- النوبار - العبور - الناشر- كنيسة مارمرقس -بمصر الجديدة *طبعة اولى يوليو 2016* رقم الايداع 2016-15819,تأليف-شماس مكرس سامح موسى *مراجعة وتقديم- ابونا داود لمعى,يحتوى على قصص واقعية عن حياة البائسين فى اكثر بلد افريقيا والكتاب يعتبر شبه مذكرات وخبرات حقيقة لاحد خدام الكرازة فى افريقيا فتطرق الى الظلام الذى مازال يغزو هذة القاره وتطرق الى مشكلة الماء والفقر والصرف الصحى والطرق والامراض والوقود والفساد والجهل والسحر والشعوذة والجريمه والعنف وتعدد والطوائف والخمور والحرب,كرازة وارساليات,ر13- ك1,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
37,قانون المعاشات الملكية نمرة 5,مطبعة-الاميرية بمصر 1909م,اصدار - نظارة المالية ,يحتوى على قانون المعاشات الملكية ,قوانين الكنيسة والقرارات الدسقولية,ر26-ك22,,,,نظارة المالية,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
38,نصف قرن فى خدمة المذبح للقمص يوحنا فؤاد,مطبعة-مكتب النعام للطباعة والتجاره *رقم الايداع2010-7161,اعداد-القس ميصائيل ذكرى وخدام الكنيسة مراجعة-القس ميصائيل ذكرى,يحتوى على الاحتفال باليوبيل الذهبى 50 عاما على رسامة ابونا يوحنا فؤاد كاهنا على كنيسة السيدة العذراء مريم بالمطريه ونبذه عن خدماته ومجموعه من الصور المختلفة له ,تراجم كهنة ورهبان وراهبات,ر9-ك80   ,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
39,سيرة القديس ابانوب النهيسى بحسب ما دونه باللغة القبطية القديس يوليوس الاقفهصى,مطبعة- الدلتا للطباعه *الناشر-كنيسة رئيس الملائكة  الجليل  ميخائيل -ابو النواتير-رمل اسكندرية -طبعة اولى 2005*رقم الايداع20578-2005,اصدار - كنيسة رئيس الملائكة الجليل ميخائيل ,يحتوى على سيرة القديس ابانوب النهيسى ,تراجم سير قديسين,ر7-ك65,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
40,نشأة دولة المماليك 648ه-1250م-658ه-1260م -اعادة قراءة للمصادر,مطبعة- صحوة -الناشر- عين للدراسات والبحوث الانسانية والاجتماعية *طبعة الاولى 2017م * رقم الايداع 27538-2017,تاليف-د.تركى بن فهد ال سعود,يحتوى على تاريخ اخر سلاطين الايوبيين فى مصر الملك المعظم توران شاه كما تطرق الى وصية الملك الصالح نجم الدين ايوب الى ابنة توران شاه وقيام الدولة والعلاقة بين الملك المعز ايبك وشجر الدر,مصر,ر59-ك4,,978-977-322-386-1,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
41,نسينا الخوف,مطبعة-دير الشهيد العظيم مارمينا العجائبى بمريوط -الناشر-كنيسة الشهيد العظيم ماجرجس - تاريخ الاصدار -31 اغسطس 1999م*رقم الايداع 1999-13377,تاليف- مجموعه من كهنة وخدام الكنيسة ,يحتوى على الشخصيات التى انتقلت فى حادثة المقطورة الشهيرة التى حطمت اتوبيس الخدمة لكنيسة مارجرجس هليوبوليس,تراجم علمانيون,ر10-ك8,,977-19-9764-5,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
42,المصور الزواج الملكى 20يناير1938,الناشر- المصور 20 يناير 1938م -  مركزالهلال للتراث الصحفى,رئيس مجلس الادارة-غالى محمد - مدير المركز- عادل سعد,يحتوى على الزواج الاسطورى الملكى للملك فاروق على الملكة فريدة، امراء البيت المالك فى خدمة الجيش المصرى، النياشين المصرية،الطيران والرياضة فى عهد الملك  فاروق،النظام البرلمانى فى مصر حاضرة ومستقبلة، مصر فى الداخل والخارج ،الزواج الملكى فى عصر الفراعنة وفى عهد الفاطميين وفى عهد اسماعيل ،تراجم حياة الملكة فريدة ،زوجات حكام مصر من محمد على الى فاروق ،الامراء الاطفال فى الاسرة المحمدية العلاوية ،تطور اللباس فى البيت المالك ،الطربوش,مناسبات مصرية وعالمية,ر93-ك6,49,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
43,جريدة الاهرام ,مطبعة- الاهرام - العدد 47135- السنه140 25ديسمبر2015م,رئيس التحرير- محمد عبد الهادى علام , يحتوى على نسخه حديثة معاد طبعة من العدد الاول لجريدة الاهرام مرور 140 عاما من التنوير ,مناسبات مصرية وعالمية,ر94-ك8,48,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
